vua_ID,vua_title,vua_hoten,vua_tuochieu,vua_chucvi,vua_ngaysinh,vua_ngaymat,trieudai_ID,vua_thongtin
0,Trưng Nữ Vương,Trưng Nữ vương,,Nữ vương,,05/03/43,0,"Hai Bà Trưng (? – 5 tháng 3 năm 43) là tên chỉ chung hai chị em Trưng Trắc (徵側) và Trưng Nhị (徵貳), hai người phụ nữ được đánh giá là anh hùng dân tộc của người Việt. Trong sử sách, hai bà được biết đến như là những thủ lĩnh khởi binh chống lại chính quyền đô hộ của Đông Hán, lập ra một quốc gia với kinh đô tại Mê Linh và Trưng Trắc tự phong là Nữ vương. Thời kì của hai Bà xen giữa thời kỳ Bắc thuộc lần 1 và Bắc thuộc lần 2 trong lịch sử Việt Nam. Đại Việt sử ký toàn thư coi Trưng Trắc là một vị vua trong lịch sử, với tên gọi Trưng Nữ vương (徵女王)."
1,Trưng Trắc,Trưng Trắc,,Nữ vương,13/09/14,14,0,"Trưng Trắc (chữ Hán: 徵側, 13 tháng 9 năm 14-14 - 5 tháng 3 năm 43) là nữ vương của vương quốc Lĩnh Nam và anh hùng dân tộc của người Việt, người đứng đầu cuộc khởi nghĩa chống lại sự đô hộ của nhà Đông Hán trong lịch sử Việt Nam, lập ra một chính quyền riêng của người Việt trong 3 năm với trung ương tại Mê Linh. Vì vậy, bà là nữ quân chủ đầu tiên trong lịch sử Việt Nam cũng như nữ vương đầu tiên của chế độ phong kiến Việt Nam (Lý Chiêu Hoàng là vị nữ quân chủ thứ hai và là nữ hoàng duy nhất). Tuy về sau cuộc khởi nghĩa bị quân Hán dưới sự chỉ huy của Mã Viện đánh bại, nhưng trong văn hóa người Việt, khởi nghĩa tượng trưng cho sự quật khởi, phục hưng tinh thần quốc gia. Sử gia Lê Văn Hưu đã nhận xét: ""Trưng Trắc, Trưng Nhị là đàn bà, hô một tiếng mà các quận Cửu Chân, Nhật Nam, Hợp Phố và 65 thành ở Lĩnh Ngoại đều hưởng ứng. Việc dựng nước xưng vương dễ như trở bàn tay, đủ biết tình thế đất Việt ta có thể dựng được nghiệp bá vương""."
2,Thi Sách,Thi,,,,15/01/40,,"Thi Sách (chữ Hán: 詩索, ? - 15 tháng 1 năm 40) hay Thi (tiếng Trung: 詩), là một nhân vật chính trị thời kỳ Bắc thuộc trong lịch sử Việt Nam. Ông được biết đến là chồng của Trưng Trắc, vị nữ thủ lĩnh ở Lĩnh Nam đã nổi dậy đánh lại Thái thú Tô Định và lên ngôi nữ vương trong một thời gian ngắn, trước khi bị Phục Ba tướng quân Mã Viện đánh bại."
3,Trưng Nhị,Trưng Nhị,,Nữ vương,,05/03/43,0,"Trưng Nhị (chữ Hán: 徵貳; ? - 5 tháng 3 năm 43) là nữ phó vương vương quốc Lĩnh Nam và là nữ thủ lĩnh chống sự đô hộ của nhà Đông Hán thời Bắc thuộc trong lịch sử Việt Nam. Bà cùng chị là nữ vương Trưng Trắc đã lãnh đạo người Việt đánh đuổi thái thú Tô Định nhà Đông Hán. | Sau khi cuộc khởi nghĩa này bị quân Đông Hán dưới sự chỉ huy của Mã Viện đánh bại, theo sử Trung Quốc, hai bà đã bị chặt đầu đem về Lạc Dương. Còn theo sử Việt Nam thì vì không muốn chịu khuất phục, Hai Bà Trưng đã gieo mình xuống dòng sông Hát Giang tuẫn tiết."
4,Mai Hắc Đế,Mai Thúc Loan,,Vua,670,723,1,"Mai Hắc Đế (chữ Hán: 梅黑帝; 670 – 723), tên thật là Mai Thúc Loan (梅叔鸞), là vị vua lãnh đạo cuộc khởi nghĩa chống lại sự chiếm đóng của nhà Đường ở miền Bắc Việt Nam vào đầu thế kỉ thứ 8. Trong lịch sử Việt Nam, ông được xem như một vị anh hùng dân tộc."
5,Mai Thiếu Đế,Mai Thiếu Đế,,,,723?,,"Mai Thiếu Đế (chữ Hán: 梅少帝; ? – 723?) là một vị vua truyền thuyết Việt Nam. Tương truyền, ông là người kế vị vua Mai Hắc Đế trong lịch sử Việt Nam."
6,Bạch Đầu Đế,Bạch Đầu Đế,,,,723?,,"Mai Kỳ Sơn (chữ Hán: 梅奇山, ? – 723?), thường được gọi là Bạch Đầu đế (白頭帝), là một vị vua truyền thuyết Việt Nam."
7,Bố Cái Đại Vương,Bố Cái Đại Vương,,,602,905,1,"Phùng Hưng (chữ Hán: 馮興; ? – ?), nổi tiếng với tôn hiệu Bố Cái Đại Vương (chữ Hán: 布盖大王), là thủ lĩnh khởi nghĩa chống lại ách đô hộ An Nam của nhà Đường năm 791, thời Bắc thuộc lần thứ ba (602–905) trong lịch sử Việt Nam."
8,Phùng An,Phùng An,,Vua,,,,Phùng An là vua Việt Nam trong thời thuộc Đường đầu thế kỷ thứ 9.
9,Đinh Kiến,Đinh Kiến,,,,,1,Đinh Kiến(丁建) là thủ lĩnh quân khởi nghĩa chống lại chính quyền nhà Đường thời Bắc thuộc lần III trong lịch sử Việt Nam.
10,Dương Thanh,Dương Thanh,,,771,820,1,"Dương Thanh (771 - 820/828?) là người Giao Châu, vốn là dòng dõi hào trưởng lâu đời, được cử làm Thứ sử Hoan Châu. Cuộc khởi nghĩa do ông lãnh đạo chống lại ách đô hộ của nhà Đường và đã giành độc lập trong khoảng gần một năm."
11,Dương Chí Liệt,Dương Chí Liệt,,,,,1,"Dương Chí Liệt (chữ Hán: 杨志烈, ? – ?) là thủ lĩnh người Giao Châu khởi nghĩa chống lại ách đô hộ của nhà Đường.| Ông quê quán ở Long Biên, Giao Châu, tổ tiên vốn là dòng dõi hào trưởng lâu đời. Cha của ông là Dương Thanh được nhà Đường cử làm Thứ sử Hoan Châu. Năm 819, nhân được giao 3.000 quân đi đánh người Tày, Nùng, Tráng ở Hoàng Động (nay thuộc vùng Tây Bắc Việt Nam), ông cùng cha mình và thủ hạ thân tín là Đỗ Sĩ Giao đồng mưu kêu gọi binh sĩ không nên đi đánh người Hoàng Động mà phản lại Lý Tượng Cổ. Được các binh sĩ ủng hộ, hai cha con bèn mang quân về đánh chiếm phủ thành Tống Bình, giết chết quan đô hộ Lý Tượng Cổ, vợ con cùng hàng nghìn quan lại và thuộc hạ trong phủ. Rồi phát binh đánh chiếm toàn cõi Giao Châu khiến An Nam đô hộ phủ của nhà Đường bị rúng động.| Dương Thanh về sau bị tướng nhà Đường Quế Trọng Vũ đánh bại, con trai là Dương Chí Trinh bị bắt và xử tử vào năm 820. Tuy vậy Đỗ Sĩ Giao vẫn ủng hộ lập Dương Chí Liệt lên làm thủ lĩnh nghĩa quân và rút lui về Tao Khê ở Trường Châu (nay thuộc tỉnh Ninh Bình, Việt Nam) hòng bảo toàn lực lượng tiếp tục cuộc chiến chống lại nhà Đường.  Nhưng chẳng được bao lâu vì thế lực suy yếu, quân lương cạn kiệt nên ông đành dẫn toàn quân ra đầu hàng triều đình nhà Đường. Không rõ số phận lúc cuối đời của ông ra sao.| | | == Tham khảo =="
12,Lý Nam Đế,Lý Bí hoặc Lý Bôn,,Vua đầu tiên,503,548,2,"Lý Nam Đế (chữ Hán: 李南帝; 503 – 548), húy là Lý Bí hoặc Lý Bôn (李賁) (xem mục Tên gọi bên dưới), là vị vua đầu tiên của nhà Tiền Lý và nước Vạn Xuân. Ông là 1 trong 14 anh hùng tiêu biểu của dân tộc Việt Nam. Bên cạnh đó, nhiều nơi ở Việt Nam có đường, trường học mang tên của ông. Tên tuổi của ông cũng được đặt cho nhiều công trình công cộng khác."
13,Triệu Việt Vương,Triệu Quang Phục,,,524,571,,"Triệu Việt Vương (chữ Hán: 趙越王; 524 – 571), tên thật là Triệu Quang Phục (趙光復), là một trong những nhà lãnh đạo khởi nghĩa, giành tự chủ thời Bắc thuộc ở Việt Nam cai trị từ năm 548 đến năm 571. Ông có công kế tục Lý Nam Đế đánh đuổi quân xâm lược nhà Lương, giữ nền độc lập cho nước Vạn Xuân. Năm 571, ông bị Lý Phật Tử đánh úp và thua trận. Ông tự tử ở cửa sông Đáy."
14,Hậu Lý Nam Đế,Lý Phật Tử,,Vua,571,602,2,"Hậu Lý Nam Đế (chữ Hán: 後李南帝; trị vì: 571 – 602) là vua nhà Tiền Lý trong lịch sử Việt Nam. Ông tên thật là Lý Phật Tử (李佛子; 518 – 602), người huyện Thái Bình (tỉnh Sơn Tây cũ, nay là Hà Nội), là cháu họ của Lý Nam Đế."
15,Lý Sư Lợi,Lý Sư Lợi,,Vua cuối cùng,,,2,"Lý Sư Lợi là vị vua cuối cùng của nhà Tiền Lý, nước Vạn Xuân. Ông là con trai của Hậu Lý Nam Đế Lý Phật Tử. Sau khi Lý Phật Tử bị bắt giải sang Trung Quốc, ông kế vị được vài năm thì bị tướng nhà Tùy đem quân sang đánh bại."
16,Lý Thiên Bảo,Lý Thiên Bảo,,,499?,555,2,Lý Thiên Bảo (chữ Hán:李天寶; 499?-555) vua nước Dã Năng (tồn tại phía tây với nhà Tiền Lý) trong lịch sử Việt Nam. Ông tham gia cuộc chiến chống quân Lương giữ nước Vạn Xuân và cát cứ ở Dã Năng thời Triệu Việt Vương.
17,Dương Đình Nghệ,Dương Đình Nghệ,,một nhà quân sự,22/11/874,937,,"Dương Đình Nghệ (chữ Hán: 楊廷藝 22 tháng 11 năm 874 – 937), là một nhà quân sự, chính trị người Việt, người đã cùng 3.000 giả tử hành quân từ Thanh Hóa tiến ra Đại La đánh bại quân Nam Hán đang chiếm đóng ở đó. Dương Đình Nghệ tự mình phong là Tiết độ sứ, trông coi các châu. Đến năm 937, ông bị viên tướng cấp dưới là Kiều Công Tiễn giết hại."
18,Kiều Công Tiễn,Kiều Công Tiễn,,,870,938,1,"Kiều Công Tiễn (chữ Hán: 矯公羨 hoặc 皎公羨; 870 - 938) là người Phong Châu (Phú Thọ, Việt Nam), là Tĩnh Hải quân Tiết độ sứ (một chức quan đời nhà Đường) cuối cùng cai trị lãnh thổ Việt Nam trong thời kỳ Tự chủ từ năm 937 đến năm 938. Hậu duệ của ông sau này trở thành 2 trong số 12 sứ quân ở khu vực Phong Châu là Kiều Công Hãn và Kiều Thuận."
19,Ngô Quyền,Tiền Ngô Vương,,Vua đầu tiên,17/04/898,14/02/944,3,"Ngô Quyền (chữ Hán: 吳權; 17 tháng 4 năm 898 – 14 tháng 2 năm 944), còn được biết đến với tên gọi Tiền Ngô Vương (前吳王) là vị vua đầu tiên của nhà Ngô trong lịch sử Việt Nam. Năm 938, ông là người lãnh đạo nhân dân đánh bại quân Nam Hán trong trận Bạch Đằng, chính thức kết thúc gần một ngàn năm Bắc thuộc, mở ra một thời kì độc lập lâu dài của Việt Nam. Sau chiến thắng này, ông lên ngôi vua, lập ra nhà Ngô, trị vì từ năm 939 đến năm 944.| Ngô Quyền nằm trong danh sách mười bốn anh hùng dân tộc Việt Nam. Phan Bội Châu xem ông là vị Tổ Trung hưng của Việt Nam."
20,Dương Tam Kha,Dương Tam Kha,,,,980,3,"Dương Tam Kha (chữ Hán: 楊三哥, ? - 980), tức Dương Bình Vương (楊平王), là một vị vua Việt Nam, trị vì từ 944 đến 950, xen giữa triều đại nhà Ngô trong lịch sử Việt Nam.| Với thân phận là anh/em vợ của Ngô Quyền và là con trai của Tiết độ sứ Dương Đình Nghệ, ông đã tạo nên một thế lực đủ mạnh để cướp ngôi nhà Ngô, tự lập triều đại riêng của mình trong vòng 6 năm, cho đến khi bị Hậu Ngô Vương phế truất."
21,Ngô Xương Ngập,Ngô Xương Ngập,,,915?,954,3,"Ngô Xương Ngập (chữ Hán: 吳昌岌; 915? - 954) là một vị vua nhà Ngô, trị vì từ 951 đến 954 cùng với em trai là Ngô Xương Văn. Sử gọi chung đó là thời Hậu Ngô Vương."
22,Ngô Xương Văn,Ngô Xương Văn,,,934,965,3,"Ngô Xương Văn (chữ Hán: 吳昌文; 934 – 965) là một vị vua nhà Ngô trong lịch sử Việt Nam. Ông trị vì từ 950 đến 965, trong đó khoảng từ 951 – 954 ông trị vì cùng với anh trai là Ngô Xương Ngập. Sử gọi chung đó là thời Hậu Ngô Vương."
23,Ngô Xương Xí,Ngô Xương Xí,,,,,,"Ngô Xương Xí (chữ Hán: 吳昌熾), còn gọi là Ngô Sứ quân (吳使君), được chính sử ghi nhận là một trong những thủ lĩnh thời 12 sứ quân thế kỷ X. Nhiều tài liệu cho biết ông là con trai của Thiên Sách Vương Ngô Xương Ngập, tức là cháu nội của Ngô Tiên chúa Ngô Quyền. Sử không ghi rõ năm sinh và năm mất của Ngô Xương Xí, nhưng căn cứ vào hành trạng của Ngô Xương Ngập thì ông sinh khoảng từ năm 944 đến trước năm 950."
24,Đinh Tiên Hoàng,Đinh Tiên Hoàng,,Hoàng đế đầu tiên,22/03/924,10/979,4,"Đinh Tiên Hoàng (chữ Hán: 丁先皇; 22 tháng 3 năm 924 - tháng 10 năm 979), tên húy là Đinh Bộ Lĩnh (丁部領)), là vị hoàng đế sáng lập triều đại nhà Đinh, nước Đại Cồ Việt trong lịch sử Việt Nam. Ông là người có công đánh dẹp loạn 12 sứ quân, thống nhất giang sơn và trở thành hoàng đế đầu tiên của Việt Nam sau thời Bắc thuộc.| Đại Cồ Việt là nhà nước mở đầu cho thời đại độc lập, tự chủ, xây dựng chế độ quân chủ tập quyền ở Việt Nam. Đinh Bộ Lĩnh mở nước, lập đô, lấy niên hiệu với tư cách người đứng đầu một vương triều bề thế: Thời kỳ phục quốc của Việt Nam, từ họ Khúc chỉ xưng làm Tiết độ sứ, tới Ngô Quyền xưng vương và tới vua Đinh xưng làm hoàng đế. Sau một số vị vua xưng đế từ trước và giữa thời Bắc thuộc rồi bị thất bại trước hoạ ngoại xâm, đến thời nhà Đinh, người cầm quyền Việt Nam mới thực sự vươn tới đỉnh cao ngôi vị và danh hiệu, khẳng định vị thế vững chắc của quốc gia độc lập, thống nhất qua các triều đại Đinh – Lê – Lý – Trần và buộc các điển lễ, sách phong của cường quyền phương Bắc phải công nhận là một nước độc lập. Từ Đinh Bộ Lĩnh trở về sau, các Vua không xưng Vương hay Tiết độ sứ nữa mà đều xưng Hoàng đế như một dòng chính thống. Đinh Tiên Hoàng là vị hoàng đế đặt nền móng sáng lập nhà nước phong kiến trung ương tập quyền đầu tiên ở Việt Nam, vì thế mà ông còn được gọi là người mở nền chính thống cho các triều đại phong kiến trong lịch sử."
25,Đinh Phế Đế,Đinh Phế Đế,,Hoàng đế thứ 2,974,1001,4,"Đinh Phế Đế (chữ Hán: 丁廢帝 974 – 1001) hay Đinh Thiếu Đế (chữ Hán: 丁少帝), còn gọi là Đinh Đế Toàn, là vị hoàng đế thứ hai và cũng là vị hoàng đế cuối cùng của triều đại nhà Đinh trong lịch sử Việt Nam. Vua trị vì được 8 tháng thì thái hậu Dương Vân Nga nhường ngôi cho Lê Hoàn lập ra nhà nhà Tiền Lê. Từ đó Đinh Toàn trở thành Vệ vương trong kinh thành Hoa Lư suốt 20 năm rồi hy sinh khi đi dẹp loạn ở tuổi 27."
26,Lê Đại Hành,Lê Hoàn,,Hoàng đế đầu tiên,10/08/941,18/04/1005,5,"Lê Đại Hành (10 tháng 8 năm 941 - 18 tháng 4 năm 1005) tên húy : Lê Hoàn . Ông là vị Hoàng đế sáng lập nhà Tiền Lê nước Đại Cồ Việt, trị vì nước Đại Cồ Việt trong 24 năm. Ông là 1 trong 14 vị anh hùng tiêu biểu của dân tộc Việt Nam.| Khi còn thiếu thời ông làm quan cho nhà Đinh dưới thời Đinh Tiên Hoàng, đến chức Thập đạo tướng quân. Năm 979, viên quan Đỗ Thích giết vua Đinh Tiên Hoàng và người con Đinh Liễn, người con thứ tên Đinh Toàn nối ngôi lúc 6 tuổi, Lê Đại Hành làm Nhiếp chính, xưng là Phó vương, nắm đại quyền triều đình. Nhà Tống lấy cớ Lê Đại Hành chuyên quyền để phát binh xâm lược Đại Cồ Việt (thực ra đây chỉ là cái cớ, còn thực tế chiếu phát binh của vua Tống cho thấy nhà Tống muốn khôi phục sự cai trị của mình lên nước Việt giống như thời nhà Đường).| Trước tình thế đó, Đại tướng quân Phạm Cự Lạng đem binh sĩ vào cung làm binh biến, buộc Thái hậu họ Dương (tức mẹ Đinh Toàn) trao long cổn cho Phó vương Lê Hoàn. Sau khi lên ngôi, Lê Hoàn tự mình làm tướng đánh tan quân Tống, chém tướng Hầu Nhân Bảo, bắt sống tướng Quách Quân Biện, Triệu Phụng Huân đem về Hoa Lư, giúp cho Đại Cồ Việt thanh bình, bảo toàn được nền độc lập của đất nước.| Hiện nay, có giả thuyết cho rằng Lê Hoàn là chủ mưu vụ ám sát vua Đinh Tiên Hoàng để giành ngôi vua. Giả thuyết này đúng sai không rõ vì không có bằng chứng, nhưng việc Lê Hoàn là một vị vua giỏi và có nhiều đóng góp cho đất nước là điều không thể phủ nhận. Sau khi lên ngôi, Lê Hoàn thu được nhiều thành tích nổi bật trong việc cai trị, như việc phát triển nông nghiệp, mở trường học, tuyển dụng nhân tài và đánh bại Chiêm Thành, đánh dẹp các tộc người ở biên giới, khiến họ phải quy phục triều đình. Vì vậy, ông vẫn được sử sách đánh giá là một minh quân có công trong việc xây dựng đất nước và được nhân dân ca ngợi.| Ông là nhạc phụ của Hoàng đế Lý Thái Tổ, ông ngoại của Hoàng đế Lý Thái Tông."
